"dispersal_scale" "sigma" "divergence_threshold" "model"
615.106719367589 0.00359683794466403 2.30434782608696 "SA_model_122"
390.474308300395 0.0081501976284585 1.29249011857708 "SA_model_123"
334.316205533597 0.00473517786561265 2.55731225296443 "SA_model_124"
558.948616600791 0.00928853754940712 1.54545454545455 "SA_model_125"
446.632411067194 0.00245849802371541 1.0395256916996 "SA_model_126"
222 0.00701185770750988 2.05138339920949 "SA_model_127"
223.754940711462 0.00398814229249012 2.58102766798419 "SA_model_128"
448.387351778656 0.00854150197628459 1.56916996047431 "SA_model_129"
560.703557312253 0.00171146245059289 1.06324110671937 "SA_model_130"
336.071146245059 0.00626482213438735 2.07509881422925 "SA_model_131"
392.229249011858 0.0028498023715415 1.82213438735178 "SA_model_132"
616.861660079051 0.00740316205533597 2.83399209486166 "SA_model_133"
504.545454545455 0.00512648221343874 2.32806324110672 "SA_model_134"
279.913043478261 0.0096798418972332 1.31620553359684 "SA_model_135"
307.99209486166 0.00114229249011858 2.20158102766798 "SA_model_136"
532.624505928854 0.00569565217391304 1.1897233201581 "SA_model_137"
644.940711462451 0.00341897233201581 1.69565217391304 "SA_model_138"
420.308300395257 0.00797233201581028 2.70750988142292 "SA_model_139"
364.150197628458 0.00455731225296443 1.44268774703557 "SA_model_140"
588.782608695652 0.00911067193675889 2.45454545454545 "SA_model_141"
476.466403162055 0.00228063241106719 2.9604743083004 "SA_model_142"
251.833992094862 0.00683399209486166 1.94861660079051 "SA_model_143"
265.873517786561 0.00256521739130435 1.12648221343874 "SA_model_144"
490.505928853755 0.00711857707509881 2.13833992094862 "SA_model_145"
602.822134387352 0.00484189723320158 2.64426877470356 "SA_model_146"
378.189723320158 0.00939525691699605 1.63241106719368 "SA_model_147"
434.347826086957 0.00370355731225296 2.39130434782609 "SA_model_148"
658.98023715415 0.00825691699604743 1.37944664031621 "SA_model_149"
546.664031620553 0.00142687747035573 1.88537549407115 "SA_model_150"
322.03162055336 0.0059802371541502 2.89723320158103 "SA_model_151"
293.95256916996 0.00541106719367589 1.50592885375494 "SA_model_152"
518.584980237154 0.00996442687747036 2.51778656126482 "SA_model_153"
630.901185770751 0.00313438735177866 2.01185770750988 "SA_model_154"
406.268774703557 0.00768774703557312 1 "SA_model_155"
350.110671936759 0.00199604743083004 2.77075098814229 "SA_model_156"
574.743083003953 0.00654940711462451 1.75889328063241 "SA_model_157"
462.426877470356 0.00427272727272727 1.25296442687747 "SA_model_158"
237.794466403162 0.00882608695652174 2.26482213438735 "SA_model_159"
244.814229249012 0.00156916996047431 1.66403162055336 "SA_model_160"
469.446640316206 0.00612252964426878 2.67588932806324 "SA_model_161"
581.762845849802 0.00384584980237154 2.1699604743083 "SA_model_162"
357.130434782609 0.00839920948616601 1.15810276679842 "SA_model_163"
413.288537549407 0.00498418972332016 2.92885375494071 "SA_model_164"
637.920948616601 0.00953754940711463 1.91699604743083 "SA_model_165"
525.604743083004 0.00270750988142292 1.41106719367589 "SA_model_166"
300.97233201581 0.00726086956521739 2.42292490118577 "SA_model_167"
329.051383399209 0.00327667984189723 1.03162055335968 "SA_model_168"
553.683794466403 0.0078300395256917 2.04347826086957 "SA_model_169"
666 0.001 2.54940711462451 "SA_model_170"
441.367588932806 0.00555335968379447 1.53754940711462 "SA_model_171"
385.209486166008 0.00213833992094862 2.29644268774704 "SA_model_172"
609.841897233202 0.00669169960474308 1.28458498023715 "SA_model_173"
497.525691699605 0.00441501976284585 1.79051383399209 "SA_model_174"
272.893280632411 0.00896837944664032 2.80237154150198 "SA_model_175"
258.853754940711 0.004699604743083 2.10671936758893 "SA_model_176"
483.486166007905 0.00925296442687747 1.09486166007905 "SA_model_177"
595.802371541502 0.00242292490118577 1.60079051383399 "SA_model_178"
371.169960474308 0.00697628458498024 2.61264822134387 "SA_model_179"
427.328063241107 0.00128458498023715 1.34782608695652 "SA_model_180"
651.9604743083 0.00583794466403162 2.3596837944664 "SA_model_181"
539.644268774704 0.00356126482213439 2.86561264822134 "SA_model_182"
315.01185770751 0.00811462450592886 1.85375494071146 "SA_model_183"
286.932806324111 0.00299209486166008 2.73913043478261 "SA_model_184"
511.565217391304 0.00754545454545455 1.72727272727273 "SA_model_185"
623.881422924901 0.00526877470355731 1.22134387351779 "SA_model_186"
399.249011857708 0.00982213438735178 2.23320158102767 "SA_model_187"
343.090909090909 0.0041304347826087 1.9802371541502 "SA_model_188"
567.723320158103 0.00868379446640316 2.99209486166008 "SA_model_189"
455.407114624506 0.00185375494071146 2.48616600790514 "SA_model_190"
230.774703557312 0.00640711462450593 1.47430830039526 "SA_model_191"
227.264822134387 0.00277865612648221 2.4703557312253 "SA_model_192"
451.897233201581 0.00733201581027668 1.45849802371542 "SA_model_193"
564.213438735178 0.00505533596837945 1.96442687747036 "SA_model_194"
339.581027667984 0.00960869565217392 2.97628458498024 "SA_model_195"
395.739130434783 0.00391699604743083 1.20553359683794 "SA_model_196"
620.371541501976 0.0084703557312253 2.21739130434783 "SA_model_197"
508.055335968379 0.0016403162055336 2.72332015810277 "SA_model_198"
283.422924901186 0.00619367588932806 1.71146245059289 "SA_model_199"
311.501976284585 0.00448616600790514 2.8498023715415 "SA_model_200"
